Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19560812.19.6,Summary,8/12/56,16:00:00,3,Iowa,-,-,3,0,8,200,5.1,Poweshiek,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,41.53,-92.75,41.58,-92.67,1,,416,Unmodified
19560818.19.7,Summary,8/18/56,5:30:00,3,Iowa,-,-,2,0,0,10,11.5,Mahaska,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,41.38,-92.6,41.47,-92.4,1,,425,Unmodified
19570419.19.1,Summary,4/19/57,13:30:00,3,Iowa,-,-,0,0,0,300,1,Winneshiek,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,42.65,-91.9,-,-,1,,168,Unmodified
19570425.19.2,Summary,4/25/57,11:30:00,3,Iowa,-,-,0,0,0,100,0.1,Montgomery,Adams,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,41.1,-95,-,-,1,,242,Unmodified
19570513.19.3,Summary,5/13/57,11:00:00,3,Iowa,-,-,1,0,0,10,6.8,Henry,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,41,-91.55,40.92,-91.63,1,,302,Unmodified
19570521.19.4,Summary,5/21/57,17:00:00,3,Iowa,-,-,2,0,0,100,8.9,Cedar,Muscatine,Scott,-,-,-,-,-,-,-,-,-,$50K-$500K,,41.55,-91,41.6,-90.83,1,,396,Unmodified
19570525.19.5,Summary,5/25/57,15:30:00,3,Iowa,-,-,0,0,0,10,0.1,Chickasaw,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,42.95,-92.2,-,-,1,,469,Unmodified
19570525.19.6,Summary,5/25/57,23:15:00,3,Iowa,-,-,0,0,0,1000,4.1,Montgomery,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,40.92,-95.12,40.97,-95.05,1,,472,Unmodified
19570529.19.7,Summary,5/29/57,11:50:00,3,Iowa,-,-,1,0,0,10,0.1,Clay,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,43.1,-95.32,-,-,1,,476,Unmodified
19570529.19.8,Summary,5/29/57,13:30:00,3,Iowa,-,-,1,0,0,50,1.5,Hancock,-,-,-,-,-,-,-,-,-,-,-,-,,43.1,-93.62,-,-,1,,477,Unmodified
19570529.19.9,Summary,5/29/57,16:00:00,3,Iowa,-,-,0,0,0,10,0.1,Webster,-,-,-,-,-,-,-,-,-,-,-,<$50,,42.5,-94.35,-,-,1,,481,Unmodified
19570530.19.10,Summary,5/30/57,14:35:00,3,Iowa,-,-,0,0,0,10,0.1,Shelby,-,-,-,-,-,-,-,-,-,-,-,-,,41.73,-95.47,-,-,1,,487,Unmodified
19570530.19.11,Summary,5/30/57,16:50:00,3,Iowa,-,-,0,0,0,10,0.1,Carroll,-,-,-,-,-,-,-,-,-,-,-,-,,42.18,-95.03,-,-,1,,495,Unmodified
19570530.19.12,Summary,5/30/57,16:50:00,3,Iowa,-,-,1,0,0,10,0.1,Story,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,42.2,-93.45,-,-,1,,496,Unmodified
19570610.19.13,Summary,6/10/57,18:00:00,3,Iowa,-,-,0,0,0,10,0.1,Lee,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,40.5,-91.5,-,-,1,,525,Unmodified
19570611.19.14,Summary,6/11/57,11:33:00,3,Iowa,-,-,0,0,0,10,0.1,Lee,-,-,-,-,-,-,-,-,-,-,-,-,,40.38,-91.47,-,-,1,,528,Unmodified
19570616.19.15,Summary,6/16/57,6:30:00,3,Iowa,-,-,2,0,0,10,47.6,Ida,Buena Vista,Palo Alto,-,-,-,-,-,-,-,-,-,$50K-$500K,,42.5,-95.4,43,-94.75,1,,578,Unmodified
19570704.19.16,Summary,7/4/57,2:28:00,3,Iowa,-,-,1,0,1,10,0.1,Crawford,-,-,-,-,-,-,-,-,-,-,-,<$50,,42.2,-95.2,-,-,1,,663,Unmodified
19570721.19.17,Summary,7/21/57,11:00:00,3,Iowa,-,-,0,0,0,10,0.1,Decatur,-,-,-,-,-,-,-,-,-,-,-,-,,40.75,-93.8,-,-,1,,702,Unmodified
19580328.19.1,Summary,3/28/58,10:30:00,3,Iowa,-,-,0,0,0,10,0.1,Lee,-,-,-,-,-,-,-,-,-,-,-,<$50,,40.63,-91.27,-,-,1,,40,Unmodified
19580330.19.2,Summary,3/30/58,15:00:00,3,Iowa,-,-,0,0,0,10,0.1,Polk,-,-,-,-,-,-,-,-,-,-,-,-,,41.67,-93.68,-,-,1,,46,Unmodified
19580401.19.3,Summary,4/1/58,14:50:00,3,Iowa,-,-,2,0,0,200,8.3,Cherokee,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,42.73,-95.7,42.85,-95.63,1,,50,Unmodified
19580405.19.4,Summary,4/5/58,10:00:00,3,Iowa,-,-,1,0,1,100,37,Woodbury,Plymouth,Sioux,-,-,-,-,-,-,-,-,-,$5K-$50K,,42.53,-95.9,43.1,-96,1,,59,Unmodified
19580405.19.5,Summary,4/5/58,14:00:00,3,Iowa,-,-,0,0,0,10,0.1,Palo Alto,-,-,-,-,-,-,-,-,-,-,-,<$50,,42.95,-94.83,-,-,1,,60,Unmodified
19580518.19.6,Summary,5/18/58,13:30:00,3,Iowa,-,-,0,0,0,10,0.1,Cherokee,-,-,-,-,-,-,-,-,-,-,-,-,,42.82,-95.7,-,-,1,,163,Unmodified
19580608.19.7,Summary,6/8/58,17:00:00,3,Iowa,-,-,2,0,0,50,0.1,Wapello,Van Buren,-,-,-,-,-,-,-,-,-,-,$500-$5000,,40.92,-92.2,-,-,1,,215,Unmodified
19580610.19.8,Summary,6/10/58,13:30:00,3,Iowa,-,-,1,0,0,50,1,Dubuque,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,42.5,-90.92,-,-,1,,227,Unmodified
19580622.19.9,Summary,6/22/58,15:00:00,3,Iowa,-,-,1,0,0,50,1,Decatur,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,40.8,-93.58,-,-,1,,294,Unmodified
19580629.19.10,Summary,6/29/58,9:00:00,3,Iowa,-,-,0,0,0,50,0.5,Taylor,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,42.57,-95.6,-,-,1,,314,Unmodified
19580714.19.11,Summary,7/14/58,17:55:00,3,Iowa,-,-,3,0,1,100,14.8,Adams,Taylor,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,41.07,-94.6,40.83,-94.57,1,,384,Unmodified
19580714.19.12,Summary,7/14/58,19:50:00,3,Iowa,-,-,2,0,0,200,0.1,Tama,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,42.2,-92.5,-,-,1,,385,Unmodified
19580729.19.13,Summary,7/29/58,4:00:00,3,Iowa,-,-,2,0,0,200,14.5,Dubuque,Jones,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,42.33,-91.08,42.28,-90.8,1,,431,Unmodified
19580805.19.14,Summary,8/5/58,17:00:00,3,Iowa,-,-,2,0,0,60,27.1,Buena Vista,Calhoun,-,-,-,-,-,-,-,-,-,-,$500-$5000,,42.75,-95.17,42.5,-94.75,1,,447,Unmodified
19590504.19.1,Summary,5/4/59,21:20:00,3,Iowa,-,-,1,0,0,100,7.9,Montgomery,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,41.17,-95.17,41.23,-95.03,1,,158,Unmodified
19590504.19.2,Summary,5/4/59,22:20:00,3,Iowa,-,-,2,0,0,100,4.1,Audubon,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,41.7,-94.92,41.75,-94.85,1,,161,Unmodified
19590504.19.3,Summary,5/4/59,22:23:00,3,Iowa,-,-,2,0,0,100,4.5,Adair,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,41.2,-94.4,41.25,-94.32,1,,162,Unmodified
19590504.19.4,Summary,5/4/59,22:23:00,3,Iowa,-,-,2,0,0,100,5.1,Adair,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,41.28,-94.5,41.33,-94.42,1,,163,Unmodified
19590504.19.5,Summary,5/4/59,22:30:00,3,Iowa,-,-,2,0,0,150,14.2,Greene,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,41.9,-94.33,42.1,-94.25,1,,164,Unmodified
19590509.19.6,Summary,5/9/59,18:15:00,3,Iowa,-,-,1,0,0,200,4.9,Poweshiek,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,41.7,-92.6,41.75,-92.52,1,,193,Unmodified
19590509.19.7,Summary,5/9/59,18:15:00,3,Iowa,-,-,3,0,0,200,6.6,Keokuk,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,41.2,-91.98,41.28,-91.9,1,,194,Unmodified
19590509.19.8,Summary,5/9/59,19:00:00,3,Iowa,-,-,3,0,1,250,17.8,Van Buren,Jefferson,Henry,-,-,-,-,-,-,-,-,-,$50K-$500K,,40.87,-91.78,41.15,-91.67,1,,197,Unmodified
19590509.19.9,Summary,5/9/59,19:10:00,3,Iowa,-,-,2,0,0,67,0.1,Tama,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,42.1,-92.4,-,-,1,,198,Unmodified
19590510.19.10,Summary,5/10/59,13:00:00,3,Iowa,-,-,4,0,1,400,41.1,Adair,Guthrie,Dallas,Boone,-,-,-,-,-,-,-,-,$500K-$5M,,41.5,-94.63,41.93,-94.08,1,,201,Unmodified
19590510.19.11,Summary,5/10/59,14:30:00,3,Iowa,-,-,2,0,0,200,1,Montgomery,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,40.93,-95.05,-,-,1,,203,Unmodified
19590510.19.12,Summary,5/10/59,16:45:00,3,Iowa,-,-,2,0,0,300,6.5,Franklin,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,42.75,-93.33,42.82,-93.23,1,,212,Unmodified
19590510.19.13,Summary,5/10/59,17:00:00,3,Iowa,-,-,1,0,0,50,1,Polk,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,41.53,-93.53,-,-,1,,213,Unmodified
19590510.19.14,Summary,5/10/59,17:53:00,3,Iowa,-,-,2,0,0,50,0.3,Polk,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,41.6,-93.6,-,-,1,,216,Unmodified
19590518.19.15,Summary,5/18/59,13:45:00,3,Iowa,-,-,2,0,0,200,1,Adams,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,40.98,-94.73,-,-,1,,243,Unmodified
19590520.19.16,Summary,5/20/59,19:00:00,3,Iowa,-,-,4,0,5,440,17.2,Wayne,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,40.7,-93.15,40.87,-92.9,1,,256,Unmodified
19590526.19.17,Summary,5/26/59,8:00:00,3,Iowa,-,-,2,0,0,400,15.9,Fremont,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,40.6,-95.63,40.82,-95.75,1,,283,Unmodified
19590528.19.18,Summary,5/28/59,6:15:00,3,Iowa,-,-,1,0,0,150,1,Clay,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,43.03,-95.2,-,-,1,,300,Unmodified
19590528.19.19,Summary,5/28/59,6:30:00,3,Iowa,-,-,2,0,0,100,2.3,Palo Alto,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,43.17,-94.9,43.2,-94.85,1,,301,Unmodified
19590528.19.20,Summary,5/28/59,6:30:00,3,Iowa,-,-,2,0,0,150,1,Clay,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,43.2,-95.02,-,-,1,,302,Unmodified
