"name","year","month","day","tmax","tmin","tobs","prcp","snow","snwd","awnd","wsf5"
"Oshkosh, WI",2010,4,10,56,29,49,0.01,0,0,8.95,25.9
"Oshkosh, WI",2010,4,11,61,38,44,0.01,0,0,4.92,15
"Oshkosh, WI",2010,4,12,65,38,45,0,0,0,6.93,23.9
"Oshkosh, WI",2010,4,13,63,45,47,0.05,0,0,13.2,25.1
"Oshkosh, WI",2010,4,14,58,47,48,0.01,0,0,10.51,23
"Oshkosh, WI",2010,4,15,79,48,59,0,0,0,11.86,36
"Oshkosh, WI",2010,4,16,79,50,54,0.04,0,0,13.87,35.1
"Oshkosh, WI",2010,4,17,60,40,40,0,0,0,13.65,35.1
"Oshkosh, WI",2010,4,18,60,35,40,0,0,0,4.92,15
"Oshkosh, WI",2010,4,19,55,37,40,0,0,0,3.36,13
"Oshkosh, WI",2010,4,20,60,39,42,0,0,0,4.25,13
"Oshkosh, WI",2010,4,21,67,40,40,0,0,0,10.51,23.9
"Oshkosh, WI",2010,4,22,50,35,36,0,0,0,6.71,16.1
"Oshkosh, WI",2010,4,23,57,36,47,0,0,0,7.83,21
"Oshkosh, WI",2010,4,24,64,47,47,0.01,0,0,11.18,32
"Oshkosh, WI",2010,4,25,53,46,49,1.17,0,0,17.9,38.9
"Oshkosh, WI",2010,4,26,52,41,44,0.43,0,0,12.75,36.9
"Oshkosh, WI",2010,4,27,63,40,40,0,0,0,10.96,35.1
"Oshkosh, WI",2010,4,28,56,38,44,0,0,0,6.93,23
"Oshkosh, WI",2010,4,29,63,44,53,0,0,0,13.42,38
"Oshkosh, WI",2010,4,30,65,52,63,0,0,0,13.87,38.9
"Oshkosh, WI",2010,5,1,79,56,56,0.31,0,0,13.2,36
"Oshkosh, WI",2010,5,2,71,56,56,0,0,0,8.05,21.9
"Oshkosh, WI",2010,5,3,72,52,53,0,0,0,7.16,32
"Oshkosh, WI",2010,5,4,67,47,52,0,0,0,6.93,31.1
"Oshkosh, WI",2010,5,5,77,51,52,0.31,0,0,12.97,45
"Oshkosh, WI",2010,5,6,67,46,47,0,0,0,8.05,19.9
"Oshkosh, WI",2010,5,7,58,44,44,0,0,0,12.3,25.9
"Oshkosh, WI",2010,5,8,45,34,37,0.78,0,0,11.41,29.1
"Oshkosh, WI",2010,5,9,50,32,36,0.04,0,0,6.04,17
"Oshkosh, WI",2010,5,10,58,36,45,0,0,0,10.07,25.9
"Oshkosh, WI",2010,5,11,58,42,42,0.09,0,0,16.11,40
"Oshkosh, WI",2010,5,12,45,42,44,0.24,0,0,10.51,25.9
"Oshkosh, WI",2010,5,13,55,44,47,0.58,0,0,8.72,32
"Oshkosh, WI",2010,5,14,60,46,49,0.15,0,0,9.17,32
"Oshkosh, WI",2010,5,15,66,42,43,0.01,0,0,2.68,12.1
"Oshkosh, WI",2010,5,16,64,42,46,0,0,0,4.92,17
"Oshkosh, WI",2010,5,17,66,46,55,0,0,0,8.28,21.9
"Oshkosh, WI",2010,5,18,69,47,52,0,0,0,6.04,19.9
"Oshkosh, WI",2010,5,19,75,48,55,0,0,0,2.68,12.1
"Oshkosh, WI",2010,5,20,80,52,60,0,0,0,3.58,21
"Oshkosh, WI",2010,5,21,81,58,58,0.01,0,0,4.7,19.9
"Oshkosh, WI",2010,5,22,62,54,55,0.32,0,0,5.37,25.1
"Oshkosh, WI",2010,5,23,74,55,69,0,0,0,10.74,28
"Oshkosh, WI",2010,5,24,89,69,76,0,0,0,9.4,25.9
"Oshkosh, WI",2010,5,25,94,71,72,0,0,0,7.61,21.9
"Oshkosh, WI",2010,5,26,87,65,69,0,0,0,3.8,21.9
"Oshkosh, WI",2010,5,27,86,62,64,0.21,0,0,4.47,16.1
"Oshkosh, WI",2010,5,28,81,57,61,0,0,0,5.82,19.9
"Oshkosh, WI",2010,5,29,82,57,67,0,0,0,6.26,14.1
"Oshkosh, WI",2010,5,30,84,65,69,0,0,0,6.26,23
"Oshkosh, WI",2010,5,31,91,68,69,0,0,0,5.59,18.1
"Oshkosh, WI",2010,6,1,79,59,67,0,0,0,6.04,25.1
"Oshkosh, WI",2010,6,2,85,67,68,0,0,0,7.83,25.1
"Oshkosh, WI",2010,6,3,69,55,58,0.19,0,0,3.58,14.1
"Oshkosh, WI",2010,6,4,75,56,56,0.05,0,0,6.26,18.1
"Oshkosh, WI",2010,6,5,78,56,67,0.63,0,0,5.82,25.1
"Oshkosh, WI",2010,6,6,80,55,56,0.54,0,0,7.83,25.1
"Oshkosh, WI",2010,6,7,71,54,60,0.02,0,0,4.92,16.1
"Oshkosh, WI",2010,6,8,70,55,55,0,0,0,9.62,28
"Oshkosh, WI",2010,6,9,62,54,62,0.55,0,0,8.72,33.1
"Oshkosh, WI",2010,6,10,78,56,60,0,0,0,5.59,19.9
"Oshkosh, WI",2010,6,11,78,58,58,0.09,0,0,6.93,30
"Oshkosh, WI",2010,6,12,77,58,62,0.81,0,0,6.71,18.1
"Oshkosh, WI",2010,6,13,67,61,62,0.01,0,0,3.58,12.1
"Oshkosh, WI",2010,6,14,71,62,65,0.1,0,0,6.49,23
"Oshkosh, WI",2010,6,15,67,63,65,0.01,0,0,5.59,21
"Oshkosh, WI",2010,6,16,68,61,64,0.7,0,0,6.49,21
"Oshkosh, WI",2010,6,17,75,61,66,0,0,0,8.72,21.9
"Oshkosh, WI",2010,6,18,80,66,70,0.03,0,0,9.62,25.9
"Oshkosh, WI",2010,6,19,86,65,68,0,0,0,8.05,25.9
"Oshkosh, WI",2010,6,20,78,61,64,0,0,0,2.91,12.1
"Oshkosh, WI",2010,6,21,79,64,69,0,0,0,6.71,21
"Oshkosh, WI",2010,6,22,81,62,67,0.31,0,0,5.14,16.1
"Oshkosh, WI",2010,6,23,86,66,70,0.21,0,0,8.28,25.9
"Oshkosh, WI",2010,6,24,84,64,67,0.33,0,0,7.61,21
"Oshkosh, WI",2010,6,25,80,63,69,0,0,0,8.5,36
"Oshkosh, WI",2010,6,26,83,68,72,0.13,0,0,5.59,40
"Oshkosh, WI",2010,6,27,83,66,67,2.46,0,0,7.16,25.1
"Oshkosh, WI",2010,6,28,83,65,68,0.03,0,0,8.5,25.1
"Oshkosh, WI",2010,6,29,76,59,60,0,0,0,5.82,18.1
"Oshkosh, WI",2010,6,30,73,55,65,0,0,0,4.25,21
"Oshkosh, WI",2010,7,1,75,57,64,0,0,0,4.92,18.1
"Oshkosh, WI",2010,7,2,80,61,66,0,0,0,10.29,23.9
"Oshkosh, WI",2010,7,3,83,61,66,0,0,0,10.51,23.9
"Oshkosh, WI",2010,7,4,86,66,74,0,0,0,12.3,36.9
"Oshkosh, WI",2010,7,5,87,71,72,0.04,0,0,8.05,32
"Oshkosh, WI",2010,7,6,81,72,74,0.7,0,0,5.37,18.1
"Oshkosh, WI",2010,7,7,84,71,74,0,0,0,4.47,21
"Oshkosh, WI",2010,7,8,86,71,72,0.3,0,0,5.59,18.1
"Oshkosh, WI",2010,7,9,84,67,71,0,0,0,5.82,21.9
"Oshkosh, WI",2010,7,10,85,66,68,0,0,0,3.8,40.9
"Oshkosh, WI",2010,7,11,85,65,69,1.04,0,0,6.04,29.1
"Oshkosh, WI",2010,7,12,83,64,65,1.26,0,0,3.58,17
"Oshkosh, WI",2010,7,13,81,65,73,0,0,0,6.71,15
"Oshkosh, WI",2010,7,14,83,66,71,0,0,0,10.07,42.9
"Oshkosh, WI",2010,7,15,88,69,71,3.6,0,0,8.72,23.9
"Oshkosh, WI",2010,7,16,81,68,70,0.11,0,0,7.16,25.1
"Oshkosh, WI",2010,7,17,87,70,70,0,0,0,6.04,36.9
"Oshkosh, WI",2010,7,18,87,69,74,0.2,0,0,6.93,42.9
"Oshkosh, WI",2010,7,19,83,67,70,0.66,0,0,4.7,21
"Oshkosh, WI",2010,7,20,85,65,67,0.04,0,0,2.91,21
"Oshkosh, WI",2010,7,21,83,65,67,0,0,0,5.82,21.9
"Oshkosh, WI",2010,7,22,84,66,73,0,0,0,4.92,29.1
"Oshkosh, WI",2010,7,23,75,67,74,2.33,0,0,5.14,21.9
"Oshkosh, WI",2010,7,24,85,70,71,1.35,0,0,8.05,23
"Oshkosh, WI",2010,7,25,85,65,76,0.01,0,0,2.91,15
"Oshkosh, WI",2010,7,26,83,64,70,0,0,0,5.82,17
"Oshkosh, WI",2010,7,27,84,67,73,0,0,0,9.62,47
"Oshkosh, WI",2010,7,28,88,69,72,0.2,0,0,7.16,47
"Oshkosh, WI",2010,7,29,83,62,66,0,0,0,3.58,13
"Oshkosh, WI",2010,7,30,82,64,68,0,0,0,4.92,17
"Oshkosh, WI",2010,7,31,80,67,68,0.02,0,0,4.25,14.1
"Oshkosh, WI",2010,8,1,77,65,69,0,0,0,2.91,12.1
"Oshkosh, WI",2010,8,2,86,69,73,0,0,0,7.83,25.1
"Oshkosh, WI",2010,8,3,84,71,72,0,0,0,3.8,14.1
"Oshkosh, WI",2010,8,4,89,72,74,0,0,0,4.25,18.1
"Oshkosh, WI",2010,8,5,89,66,68,0,0,0,9.4,30
"Oshkosh, WI",2010,8,6,81,60,64,0,0,0,5.14,23.9
"Oshkosh, WI",2010,8,7,80,63,69,0,0,0,7.83,28
"Oshkosh, WI",2010,8,8,84,67,68,1.11,0,0,6.93,35.1
"Oshkosh, WI",2010,8,9,85,68,73,0.12,0,0,4.03,21
"Oshkosh, WI",2010,8,10,88,71,73,0,0,0,3.8,13
"Oshkosh, WI",2010,8,11,90,71,72,0.14,0,0,3.13,25.9
"Oshkosh, WI",2010,8,12,86,72,76,0.05,0,0,3.36,23.9
"Oshkosh, WI",2010,8,13,92,75,77,0,0,0,7.61,38.9
"Oshkosh, WI",2010,8,14,81,70,70,0.22,0,0,3.8,13
"Oshkosh, WI",2010,8,15,86,67,67,0,0,0,8.28,25.1
"Oshkosh, WI",2010,8,16,78,60,60,0,0,0,7.16,29.1
"Oshkosh, WI",2010,8,17,77,59,60,0,0,0,4.92,16.1
"Oshkosh, WI",2010,8,18,72,58,62,0,0,0,6.26,17
"Oshkosh, WI",2010,8,19,80,62,70,0,0,0,7.38,17
"Oshkosh, WI",2010,8,20,78,67,72,0.04,0,0,8.05,45
"Oshkosh, WI",2010,8,21,90,69,70,0.67,0,0,4.25,14.1
"Oshkosh, WI",2010,8,22,80,63,64,0,0,0,2.24,13
"Oshkosh, WI",2010,8,23,83,64,65,0,0,0,4.03,12.1
"Oshkosh, WI",2010,8,24,82,63,66,0,0,0,6.04,19.9
"Oshkosh, WI",2010,8,25,76,55,58,0,0,0,8.05,23.9
"Oshkosh, WI",2010,8,26,74,53,55,0,0,0,3.8,14.1
"Oshkosh, WI",2010,8,27,75,54,64,0,0,0,9.4,21.9
"Oshkosh, WI",2010,8,28,85,64,67,0,0,0,8.95,23.9
"Oshkosh, WI",2010,8,29,85,64,65,0,0,0,9.17,25.9
"Oshkosh, WI",2010,8,30,91,65,71,0,0,0,11.18,29.1
"Oshkosh, WI",2010,8,31,90,71,75,0,0,0,8.95,30
"Oshkosh, WI",2010,9,1,82,68,68,0.3,0,0,3.36,19.9
"Oshkosh, WI",2010,9,2,82,67,71,0,0,0,7.16,28
"Oshkosh, WI",2010,9,3,82,57,59,0.03,0,0,10.96,35.1
"Oshkosh, WI",2010,9,4,61,47,50,0.02,0,0,10.51,30
"Oshkosh, WI",2010,9,5,65,47,48,0,0,0,6.26,16.1
"Oshkosh, WI",2010,9,6,73,48,64,0.02,0,0,10.51,35.1
"Oshkosh, WI",2010,9,7,74,58,59,0.1,0,0,12.3,36
"Oshkosh, WI",2010,9,8,65,48,50,0.11,0,0,6.93,21.9
"Oshkosh, WI",2010,9,9,65,46,47,0,0,0,3.8,14.1
"Oshkosh, WI",2010,9,10,66,46,55,0,0,0,8.72,19.9
"Oshkosh, WI",2010,9,11,69,55,60,0.67,0,0,7.61,28
"Oshkosh, WI",2010,9,12,70,51,53,0.2,0,0,5.37,21
"Oshkosh, WI",2010,9,13,79,53,55,0,0,0,7.61,25.1
"Oshkosh, WI",2010,9,14,73,49,51,0,0,0,2.01,18.1
"Oshkosh, WI",2010,9,15,71,51,56,0,0,0,8.05,25.1
"Oshkosh, WI",2010,9,16,70,56,57,0.14,0,0,9.17,30
"Oshkosh, WI",2010,9,17,60,52,54,0.04,0,0,6.93,25.1
"Oshkosh, WI",2010,9,18,73,54,58,0.02,0,0,5.82,21.9
"Oshkosh, WI",2010,9,19,63,47,50,0,0,0,3.58,15
"Oshkosh, WI",2010,9,20,63,50,56,0,0,0,8.5,23
"Oshkosh, WI",2010,9,21,72,56,72,0,0,0,8.72,28
"Oshkosh, WI",2010,9,22,79,56,57,0,0,0,6.71,15
"Oshkosh, WI",2010,9,23,71,56,68,0.26,0,0,12.75,38
"Oshkosh, WI",2010,9,24,84,60,61,0.83,0,0,15.66,38.9
"Oshkosh, WI",2010,9,25,61,46,47,0.03,0,0,7.83,29.1
"Oshkosh, WI",2010,9,26,59,41,43,0,0,0,5.59,19.9
"Oshkosh, WI",2010,9,27,60,40,41,0,0,0,1.57,13
"Oshkosh, WI",2010,9,28,64,41,50,0,0,0,4.25,15
"Oshkosh, WI",2010,9,29,66,50,56,0,0,0,6.71,23
"Oshkosh, WI",2010,9,30,74,51,51,0.02,0,0,6.93,25.9
"Oshkosh, WI",2010,10,1,68,45,46,0,0,0,8.05,32
"Oshkosh, WI",2010,10,2,69,40,41,0.15,0,0,13.2,30
"Oshkosh, WI",2010,10,3,53,36,36,0.02,0,0,5.82,18.1
"Oshkosh, WI",2010,10,4,55,36,37,0,0,0,2.01,12.1
"Oshkosh, WI",2010,10,5,61,37,40,0,0,0,2.46,14.1
"Oshkosh, WI",2010,10,6,69,37,47,0,0,0,5.82,18.1
"Oshkosh, WI",2010,10,7,74,46,47,0,0,0,5.82,17
"Oshkosh, WI",2010,10,8,72,47,50,0,0,0,5.82,23.9
"Oshkosh, WI",2010,10,9,80,50,51,0,0,0,5.59,17
"Oshkosh, WI",2010,10,10,71,50,50,0,0,0,1.12,12.1
"Oshkosh, WI",2010,10,11,75,50,56,0,0,0,6.49,19.9
"Oshkosh, WI",2010,10,12,69,54,54,0,0,0,3.8,21
"Oshkosh, WI",2010,10,13,73,52,52,0,0,0,7.83,23
"Oshkosh, WI",2010,10,14,65,42,42,0,0,0,7.38,35.1
"Oshkosh, WI",2010,10,15,63,42,44,0,0,0,7.38,21
"Oshkosh, WI",2010,10,16,61,44,44,0,0,0,8.72,30
"Oshkosh, WI",2010,10,17,69,40,41,0,0,0,4.7,18.1
"Oshkosh, WI",2010,10,18,61,40,47,0,0,0,4.47,16.1
"Oshkosh, WI",2010,10,19,53,37,37,0,0,0,6.26,21
"Oshkosh, WI",2010,10,20,59,37,46,0,0,0,9.4,33.1
"Oshkosh, WI",2010,10,21,62,32,39,0.05,0,0,8.72,25.1
"Oshkosh, WI",2010,10,22,52,33,35,0,0,0,5.82,21.9
"Oshkosh, WI",2010,10,23,62,34,53,0,0,0,5.59,18.1
"Oshkosh, WI",2010,10,24,59,53,57,0.96,0,0,7.83,25.1
"Oshkosh, WI",2010,10,25,63,56,56,0.2,0,0,8.28,21
"Oshkosh, WI",2010,10,26,62,56,61,0.87,0,0,22.15,52.1
"Oshkosh, WI",2010,10,27,65,47,47,0.43,0,0,17,46.1
"Oshkosh, WI",2010,10,28,52,41,41,0,0,0,14.32,32
"Oshkosh, WI",2010,10,29,43,29,29,0,0,0,7.83,21
"Oshkosh, WI",2010,10,30,50,28,44,0,0,0,10.96,25.9
"Oshkosh, WI",2010,10,31,57,32,32,0,0,0,3.36,16.1
"Oshkosh, WI",2010,11,1,48,29,30,0,0,0,2.24,10.1
"Oshkosh, WI",2010,11,2,50,30,30,0,0,0,4.25,16.1
"Oshkosh, WI",2010,11,3,53,30,42,0.01,0,0,9.62,23.9
"Oshkosh, WI",2010,11,4,58,36,39,0,0,0,12.53,29.1
"Oshkosh, WI",2010,11,5,49,31,32,0,0,0,8.05,23.9
"Oshkosh, WI",2010,11,6,40,26,30,0,0,0,8.5,23.9
"Oshkosh, WI",2010,11,7,48,30,37,0,0,0,7.38,23
"Oshkosh, WI",2010,11,8,58,37,44,0,0,0,5.59,19.9
"Oshkosh, WI",2010,11,9,65,42,44,0,0,0,4.7,19.9
"Oshkosh, WI",2010,11,10,64,44,47,0,0,0,8.72,21
"Oshkosh, WI",2010,11,11,62,47,52,0,0,0,5.82,18.1
"Oshkosh, WI",2010,11,12,58,43,43,0,0,0,10.07,25.9
"Oshkosh, WI",2010,11,13,45,42,44,0.07,0,0,15.88,33.1
"Oshkosh, WI",2010,11,14,48,37,37,0.06,0,0,9.17,29.1
"Oshkosh, WI",2010,11,15,40,32,33,0,0,0,7.61,21
"Oshkosh, WI",2010,11,16,49,33,38,0,0,0,4.47,14.1
"Oshkosh, WI",2010,11,17,50,37,41,0,0,0,6.71,17
"Oshkosh, WI",2010,11,18,42,33,35,0,0,0,6.04,17
"Oshkosh, WI",2010,11,19,37,30,34,0,0,0,10.29,32
"Oshkosh, WI",2010,11,20,40,24,25,0,0,0,9.17,23
"Oshkosh, WI",2010,11,21,39,25,38,0,0,0,9.62,23.9
"Oshkosh, WI",2010,11,22,55,25,40,0.06,0,0,8.72,28
"Oshkosh, WI",2010,11,23,47,19,20,0.07,0,0,10.74,36.9
"Oshkosh, WI",2010,11,24,30,18,30,0,0,0,12.08,31.1
"Oshkosh, WI",2010,11,25,39,18,36,0.29,0,0,9.4,31.1
"Oshkosh, WI",2010,11,26,36,15,15,0,0,0,11.86,29.1
"Oshkosh, WI",2010,11,27,29,15,17,0,0,0,4.47,17
"Oshkosh, WI",2010,11,28,29,17,23,0,0,0,9.62,23.9
"Oshkosh, WI",2010,11,29,44,23,38,0,0,0,11.86,28
"Oshkosh, WI",2010,11,30,48,38,45,0.04,0,0,10.51,30
"Oshkosh, WI",2010,12,1,45,21,21,0.01,0,0,11.86,25.9
"Oshkosh, WI",2010,12,2,26,19,20,0.04,0,0,6.71,23
"Oshkosh, WI",2010,12,3,26,15,19,0,0,0,2.91,12.1
"Oshkosh, WI",2010,12,4,26,19,26,0.01,0,0,10.29,23
"Oshkosh, WI",2010,12,5,33,21,21,0,0,0,11.63,23.9
"Oshkosh, WI",2010,12,6,25,14,16,0,0,0,12.53,30
"Oshkosh, WI",2010,12,7,24,13,13,0,0,0,9.62,23
"Oshkosh, WI",2010,12,8,26,9,9,0,0,0,5.82,17
"Oshkosh, WI",2010,12,9,24,9,15,0,0,0,10.96,32
"Oshkosh, WI",2010,12,10,30,15,29,0.18,2,2,5.37,23
"Oshkosh, WI",2010,12,11,33,21,25,0.02,1,3,18.12,49
"Oshkosh, WI",2010,12,12,34,19,20,0.38,8,11,24.61,47
"Oshkosh, WI",2010,12,13,20,-1,0,0.03,0.3,9,8.72,21
"Oshkosh, WI",2010,12,14,13,-2,-1,0,0,9,4.25,15
"Oshkosh, WI",2010,12,15,16,-5,-5,0,0,9,0.89,8.9
"Oshkosh, WI",2010,12,16,16,-5,3,0,0,9,4.25,12.1
"Oshkosh, WI",2010,12,17,20,-5,13,0,0,8,7.16,18.1
"Oshkosh, WI",2010,12,18,21,11,13,0,0,8,6.93,18.1
"Oshkosh, WI",2010,12,19,18,12,14,0,0,8,3.58,12.1
"Oshkosh, WI",2010,12,20,20,3,9,0,0,8,2.46,8.9
"Oshkosh, WI",2010,12,21,32,9,32,0.18,2,10,6.26,19.9
"Oshkosh, WI",2010,12,22,34,28,30,0.12,1.2,11,8.95,23
"Oshkosh, WI",2010,12,23,34,26,27,0,0,11,4.92,13
"Oshkosh, WI",2010,12,24,28,23,23,0,0,11,4.47,15
"Oshkosh, WI",2010,12,25,29,23,27,0,0,9,10.51,23
"Oshkosh, WI",2010,12,26,30,19,24,0,0,9,9.62,21.9
"Oshkosh, WI",2010,12,27,26,10,18,0,0,9,7.38,19.9
"Oshkosh, WI",2010,12,28,24,13,19,0,0,9,7.61,21
"Oshkosh, WI",2010,12,29,28,16,20,0,0,9,12.75,28
"Oshkosh, WI",2010,12,30,38,20,37,0.02,0,8,11.63,29.1
"Oshkosh, WI",2010,12,31,44,36,41,0.01,0,4,7.38,30
"Oshkosh, WI",2011,1,1,48,21,21,0,0,0,14.54,40.9
